"id";"titles";"price"
328;"Antique Music Books - The Beauties of Handel in 2 vol-1805";"$10"
329;"Life The Beatles";"$10"
330;"Addi";"$138"
331;"Jacques Pepin Hardcover Book - Brand New -";"$138"
332;"Magazines from 20s to the 50s";"$29"
333;"GRE test Books";"$29"
334;"Dog food";"$119"
335;"Transcontinental Railroad Surveys";"$119"
336;"The American Heritage Spanish English Dictionary Book";"$10"
337;"Cook and Education Books for Sale, $50 for the Lot";"$10"
338;"Elvis: The Sun Years";"$75"
339;"A SCHOOL BUS DRIVER OF BROWARD FLORIDA PUBLIC SCHOOL TRANSPORTATION S";"$75"
340;"Teaching Your Baby to Sign books Set of 4";"$20"
341;"The Inner World of Jimi Hendrix";"$20"
342;"Barron\xe2\x80\x99s AP Books";"$1"
343;"Off The Record: An Oral History of Popular Music";"$1"
344;"Brand New Berlin tour book &amp; German phrasebook/dictionary";"$15"
345;"Rihanna visual autobiography";"$15"
346;"Car Magazine Collection, 1000&#39;s. 1970&#39;s - Present!";"$1"
347;"24 ORIGINAL COMICS";"$1"
348;"Iyengar Books and DVDs";"$5"
349;"\xe2\x9c\xaa ADOLF HITLER: MEIN KAMPF (Very Rare 1942 Edition) \xe2\x9c\xaa";"$5"
350;"Big Sale on Books; different subjects; $1.00 and Up";"$1"
351;"Purple magazine french fashion magazines for sale (9 issues)";"$1"
352;"Study Hard for the SAT";"$55"
353;"Luke Smalley - Exercise at Home (2007, Hardcover)";"$55"
354;"Add-E";"$0"
355;"The Reckoning by John Grisham";"$0"
356;"Sweet&#39;s General Building; Renovation Catalog File";"$25"
357;"Ultimate Garages";"$25"
358;"Books: The Emergence of Man Series";"$20"
359;"Vintage Childcraft Series-15 Volumes";"$20"
360;"Diana: Unseen Archives";"$23"
361;"Books: HALO and Mass Effect";"$23"
362;"KAPLAN OPTOMETRY ADMISSION TEST OAT 2015 STRATEGIES PRACTICE TEST PREP";"$20"
363;"Like new, 23 kids book for $40";"$20"
364;"Diana: Unseen Archives";"$15"
365;"JOHN RAWLINGS: 30 Years in Vogue";"$15"
366;"Book Lot";"$30"
367;"Books - All Kinds";"$30"
368;"Collection of Books: The Doors &amp; Jim Morrison - 16";"$30"
369;"Korean Russian language study";"$30"
370;"1953 Russian Book by IVAN SOLONEVICH";"$15"
371;"A Thousand Words Susan Page Davis Published by Guideposts, 2013";"$15"
372;"Persian Art And Design Influences Vintage 1948 Publication";"$30"
373;"Books about Countries";"$30"
374;"Padi book OW &amp; Dive Planner";"$30"
375;"Book - &quot;On Fertile Ground&quot;";"$30"
376;"Rare Luigi Fusi Alfa Romeo";"$30"
377;"Encyclopedia Britannica 14th Edition 1966 21 Volumes Red L";"$30"
378;"FULL Bar Test Prep Textbooks by BARBRI";"$15"
379;"French dictionary and French Thesaurus";"$15"
380;"Brand New--PIERRE BONNARD EARLY &amp; LATE--TOTALLY UNUSED COPY";"$180"
381;"STC Series 63 Study Guide New";"$180"
382;"Barack Obama - The Audacity of Hope";"$30"
383;"STC Series 79 Study Guide NEW";"$30"
384;"STC Series 7 guide NEW";"$30"
385;"ORIGAMI - MYTHOLOGICAL CREATURES and the CHINESE ZODIAC";"$30"
386;"Max Ernst: Beyond Surrealism: A Retrospective  of the Artist";"$30"
387;"When Genius Failed by Roger Lowenstein";"$30"
388;"Dangerous Company by O&#39;Shea and Madigan";"$0"
389;"BEHIND THE GLASS: Top Record Producers Tell How They Craft the Hitsp";"$15"
390;"Art Forum Magazine, 72 Issues CAN DELIVER";"$15"
391;"What to Do When You&#39;re Dating a Jew";"$0"
392;"Robert Holden, Ph.D. - Happiness Now";"$0"
393;"The Best of Skillpath Cassettes";"$5"
394;"Anthony Robbins - Get The Edge";"$5"
395;"1619 project MAGAZINE. 10 copies left!!";"$10"
396;"Two Dilbert books";"$10"
397;"Wiley CMAexcel Learning System Exam Review 2016 and Online Intensive R";"$5"
398;"Wiley CMAexcel Learning System Exam Review 2016 and Online Intensive R";"$5"
399;"OLD BOOKS";"$0"
400;"ACHIEVEMENT IN PHOTO-ENGRAVING";"$0"
401;"J. D. ROBB BOX SET (In Death series)";"$0"
402;"GUY BOURDIN - Sighs and Whispers";"$0"
403;"THE BEST OF BILLY JOEL- EASY PIANO BOOK";"$0"
404;"Il Decameron";"$0"
405;"The Norton Anthology of Drama (Shorter Second Edition) 2nd Edition";"$100"
406;"Understanding Psychology Albert A. Maisto and Charles G. Morris US 10t";"$100"
407;"NEW-BILLY JOEL- EASY PIANO COLLECTION- NEW";"$100"
408;"Developmental Psychology: Life-Span Human Development 7th edit";"$100"
409;"LADY GAGA- PIANO SOLO- 12 FAVORITES";"$0"
410;"Christopher Paolini New First Editions Brisingr and Eldest Hard Cover";"$0"
411;"PAT BENATAR GREATEST HITS- FOR PIANO/ VOCAL/ GUITAR";"$19"
412;"Life and Letters of St.Paul";"$5"
413;"La Divina Comedia";"$5"
